지역코드,시/도,시/군/구
11110000,서울특별시,종로구
11140000,서울특별시,중구
11170000,서울특별시,용산구
11200000,서울특별시,성동구
11215000,서울특별시,광진구
11230000,서울특별시,동대문구
11260000,서울특별시,중랑구
11290000,서울특별시,성북구
11305000,서울특별시,강북구
11320000,서울특별시,도봉구
11350000,서울특별시,노원구
11380000,서울특별시,은평구
11410000,서울특별시,서대문구
11440000,서울특별시,마포구
11470000,서울특별시,양천구
11500000,서울특별시,강서구
11530000,서울특별시,구로구
11545000,서울특별시,금천구
11560000,서울특별시,영등포구
11590000,서울특별시,동작구
11620000,서울특별시,관악구
11650000,서울특별시,서초구
11680000,서울특별시,강남구
11710000,서울특별시,송파구
11740000,서울특별시,강동구
26110000,부산광역시,중구
26140000,부산광역시,서구
26170000,부산광역시,동구
26200000,부산광역시,영도구
26230000,부산광역시,부산진구
26260000,부산광역시,동래구
26290000,부산광역시,남구
26320000,부산광역시,북구
26350000,부산광역시,해운대구
26380000,부산광역시,사하구
26410000,부산광역시,금정구
26440000,부산광역시,강서구
26470000,부산광역시,연제구
26500000,부산광역시,수영구
26530000,부산광역시,사상구
26710000,부산광역시,기장군
27110000,대구광역시,중구
27140000,대구광역시,동구
27170000,대구광역시,서구
27200000,대구광역시,남구
27230000,대구광역시,북구
27260000,대구광역시,수성구
27290000,대구광역시,달서구
27710000,대구광역시,달성군
27720000,대구광역시,군위군
28110000,인천광역시,중구
28140000,인천광역시,동구
28177000,인천광역시,미추홀구
28185000,인천광역시,연수구
28200000,인천광역시,남동구
28237000,인천광역시,부평구
28245000,인천광역시,계양구
28260000,인천광역시,서구
28710000,인천광역시,강화군
28720000,인천광역시,옹진군
29110000,광주광역시,동구
29140000,광주광역시,서구
29155000,광주광역시,남구
29170000,광주광역시,북구
29200000,광주광역시,광산구
30110000,대전광역시,동구
30140000,대전광역시,중구
30170000,대전광역시,서구
30200000,대전광역시,유성구
30230000,대전광역시,대덕구
31110000,울산광역시,중구
31140000,울산광역시,남구
31170000,울산광역시,동구
31200000,울산광역시,북구
31710000,울산광역시,울주군
36110101,세종특별자치시,반곡동
36110102,세종특별자치시,소담동
36110103,세종특별자치시,보람동
36110104,세종특별자치시,대평동
36110105,세종특별자치시,가람동
36110106,세종특별자치시,한솔동
36110107,세종특별자치시,나성동
36110108,세종특별자치시,새롬동
36110109,세종특별자치시,다정동
36110110,세종특별자치시,어진동
36110111,세종특별자치시,종촌동
36110112,세종특별자치시,고운동
36110113,세종특별자치시,아름동
36110114,세종특별자치시,도담동
36110115,세종특별자치시,산울동
